count	title	artist	genre	R0	r	infper	i0	beta	gamma	N	Extracted.s0	Calculated.s0	Z	SIR.rel.fit.goodness	spline.rel.fit.goodness
5143	No Money	Kings Of Leon	Indie/Alternative	824.833361123336	9.37980832973146	87.8305112602361	0.0021176699244929	9.39119389478911	0.0113855650576491	51.6094699399738	51.6094699399738	5143	1	1.28780331508406	3.24374126052189
5131	Release Me (UK Radio Edit)	Various Artists	Soul/R\&B/Funk	12.5723254997961	0.524041397640053	22.0828460345126	0.113848118682412	0.5693254157615	0.0452840181214474	215.019537837052	215.019537837052	5131.01778815315	0.99999653321156	0.923727738512257	1.61403912370581
5128	Must Be The Ganja (Album Version (Explicit))	Eminem	Pop	0.997386884105703	-0.00421144032318632	0.620480333037315	2.71799011931429e-14	1.60744318715694	1.61165462748013	780646766221365	780646766221365	-325274068861350784	-1.57651669496772e-14	1.39472020865875	1.5912004849504
5126	Mi Amigo	Kings Of Leon	Rap/Hip Hop	317.175845040745	6.52144890359454	48.4824537790173	1.66296240253246e-230	6.54207492233026	0.0206260187357264	99.4382857759967	99.4382857759967	5126	1	1.33161478419044	3.23988230798385
5116	Mountains	Biffy Clyro	Pop	1577.70770425189	25.6669412667354	61.4295130793525	5.47174975644904e-11	25.6832200869615	0.016278820226171	76.6236909291302	76.6236909291302	5116	1	2.27535421794374	6.78643907150691
5115	Pony Up	Kings Of Leon	Rap/Hip Hop	73330.0391321498	571.212091088562	128.374451935018	9.09995960082228e-273	571.219880800494	0.00778971193198309	39.0205852230305	39.0205852230305	5115	1	1.58053255869976	3.23677793708126
5115	That Golden Rule	Biffy Clyro	Pop	297.421282677804	5.02959471555709	58.9354211306412	0.00736521481965491	5.04656244024312	0.0169677246860308	75.2591840088644	75.2591840088644	5115	1	1.84264795416729	0.892078084220638
5113	Birthday	Kings Of Leon	Indie/Alternative	856.467003872956	9.81468142038277	87.1619737036349	0.00155189146472428	9.82615431340605	0.0114728930232829	51.757714723607	51.757714723607	5113	1	1.2927090085901	3.22789905783889
5109	Dynamite	Various Artists	Rap/Hip Hop	83489.9681946573	647.261145994114	128.98807337868	5.80215148167134e-309	647.268898648866	0.00775265475176317	38.8474670919832	38.8474670919832	5109	1	1.62851376283027	3.80755582372317
5103	The Circus	Take That	Pop	2.62231553015611	0.216784919238196	7.48352577225892	0.0136049061501176	0.350411772466517	0.133626853228321	832.394024271836	832.394024271836	5623.74278054414	0.907402809682958	3.67156058322388	0.952443702657826
5102	Unnatural Selection	Muse	Rap/Hip Hop	76392.0051027626	594.301826382602	128.539071750359	9.75306273217378e-284	594.30960611826	0.00777973565844743	38.8724419150408	38.8724419150408	5102	1	1.57327797415735	1.54462017821469
5096	The Chain (Remastered LP Version)	Fleetwood Mac	Rap/Hip Hop	28.7729230252454	0.160397552977355	173.150540701617	0.492615920127964	0.16617287424374	0.00577532126638435	27.1566538954324	27.1566538954324	5096.00000000163	0.999999999999681	3.3411014897185	1.11594813895697
5095	Rain On Me	Cheryl	Pop	11.4106734521074	3.12756176688777	3.32868676242549	3.07207611530431e-45	3.42798054202999	0.300418775142224	1416.68941443007	1416.68941443007	5095.05644316814	0.999988921973923	0.93509906292724	2.03564832634382
5094	Quicksand (Standard Version)	La Roux	Dance	1.00193060423964	0.208925878509788	0.00924061802881355	5.71541153370296e-07	108.426795817713	108.217869939203	123787751.635916	123787751.635916	1322673.17563632	0.0038512915312956	1.40592569484388	1.31643847239555
5094	Guiding Light	Muse	Pop	21.9277919720278	0.680912034264371	30.7349421348343	0.000856103562318747	0.713448292039414	0.032536257775043	146.974106221797	146.974106221797	5094.00000152735	0.999999999700166	1.83531990749859	1.63393126687335
5090	Fernando	Abba	Pop	4460.41190711093	73.7951343472062	60.4296197379273	1.41620609991997e-30	73.8116825234869	0.0165481762807184	78.7070387495255	78.7070387495255	5090	1	2.25429160557753	1.05486495715502
5090	Same Song \& Dance (Album Version (Explicit))	Eminem	Pop	288.918817233972	4.97631559779467	57.8578290656581	0.00773160997584087	4.99359934341992	0.0172837456252495	76.0681529962697	76.0681529962697	5090	1	1.87235010865834	1.58743541157616
5087	Rock DJ	Robbie Williams	Dance	1.0041668011321	0.206198365427547	0.0202077311498753	2.7734604366414e-06	49.6922090701064	49.4860107046788	26146852.1216817	26146852.1216817	613813.986584289	0.00828752702151314	1.73662380214375	2.03778956213926
5084	Hello (Album Version (Explicit))	Eminem	Pop	12.1397667646425	0.891264088375307	12.4988394685006	1.87127709150383e-06	0.971271516466546	0.0800074280912386	363.592563210028	363.592563210028	5084.02716453749	0.999994656885848	3.02015458762281	1.59739149150785
5083	Julie	Take That	Rock	4.6305015024511e-07	-0.01540887096062	64.8976514571069	0.998260995374808	7.13508331732398e-09	0.0154088780957033	74.871734526041	74.871734526041	22891796905924231168	2.22044604925031e-16	0.920105422042915	0.944909800816547
5082	I Belong To You [+Mon Coeur S\'Ouvre A Ta Voix]	Muse	Indie/Alternative	820.949646760414	9.45203274058284	86.7484983669082	0.00195715640245906	9.46356031764556	0.0115275770627226	51.6368070117274	51.6368070117274	5082	1	1.28544837977417	1.62158592472578
5082	Miss Independent	Ne-Yo	Pop	1.00527125482115	1.27111503633199	0.00414695339956008	1.97086506742564e-10	242.411996944019	241.140881907687	94056082.1317752	94056082.1317752	485439.381331222	0.0104688663413826	0.938470348611109	0.679940870668417
5080	Hello	Take That	Rap/Hip Hop	56680.6913007446	444.807532304208	127.425205699936	1.45135952843992e-212	444.81538004512	0.00784774091206746	39.0291389654162	39.0291389654162	5080	1	1.57302509332628	0.952011685936914
5077	Kiss Me Thru The Phone	Soulja Boy	Indie/Alternative	12330.1225795428	143.820430460598	85.725807801142	1.96247170504657e-48	143.832095559192	0.0116650985934096	55.8124152597233	55.8124152597233	5077	1	1.30598592853885	4.02517661230477
5068	Stand Up	Cheryl	Pop	0.996710769602344	-0.0204012579806943	0.161226842029468	3.99635036530589e-07	6.18203989519421	6.2024411531749	246707402.964631	246707402.964631	-94315053353362288	-5.37347943918576e-14	21.1822829605412	2.02740447825526
5067	Deja Vu (Album Version (Explicit))	Eminem	Indie/Alternative	8446.12997590383	98.4191740435981	85.8077712800432	4.64641765547086e-33	98.4308279997035	0.011653956105402	55.3925317034608	55.3925317034608	5067	1	1.30937503369339	1.57712418823762
5066	Happy Hour	Cheryl	Metal	3.207847358946	0.246923029168689	8.94143963152855	0.0106684745849834	0.35876184273892	0.111838813570231	625.564015085052	625.564015085052	5316.00811825002	0.952970704203454	1.32908701467665	2.03660952748857
5061	MK Ultra	Muse	Electronica	141744.300221956	646.118942364294	219.376481524107	1.06638300084927e-200	646.123500738068	0.00455837377394582	23.8478701120762	23.8478701120762	5061	1	1.24347479079779	1.61830666064633
5058	Old Time\'s Sake (Album Version (Explicit))	Eminem	Rock	4.88691826417523	0.297206712082793	13.0781644766235	0.0639536197034421	0.373670041610988	0.0764633295281955	421.46824914687	421.46824914687	5097.96436769841	0.992160720472738	3.16984724857118	1.57277754283339
5057	Stay	Various Artists	Rock	0.00136639862065463	-0.0154400692620366	64.6780519200611	0.0137471001869923	2.11261560930041e-05	0.0154611954181297	5418.72513228962	5418.72513228962	Inf	0	1.04070963875748	0.967940053771414
5055	Stay Wide Awake (Album Version (Explicit))	Eminem	Rock	0.193588575906667	-0.0125347746086462	64.333938923568	0.999990596025875	0.00300912052247663	0.0155438951311228	74.9557564404357	74.9557564404357	Inf	0	1.36508292182687	1.57246749992712
5051	Dr. West (Skit (Explicit))	Eminem	Pop	0.501487406763587	-0.00419542363246482	118.822945406239	8.70356992345173e-11	0.00422045931489974	0.00841588294736456	239192764614.053	239192764614.053	-22747681717848375296	-2.22044604925031e-16	1.42870348702032	1.58425727097045
5051	I Will Talk And Hollywood Will Listen	Robbie Williams	Pop	1159.09550750142	18.8102213922114	61.5673512477078	3.35500871139507e-08	18.8264637671022	0.016242374890819	74.7725242030197	74.7725242030197	5051	1	2.26197833407858	1.47795491202327
5046	Boogers	Ministry Of Sound	Rap/Hip Hop	1441.46457174577	17.6541327155396	81.5936186136084	0.288869384343057	17.6663885759487	0.0122558604090788	59.3716143234839	59.3716143234839	5046	1	6.52329161304046	1.55236619309298
5046	Under The Sheets	Ellie Goulding	Rock	0.989581857473958	-0.0154852610323346	0.67277797282773	1.44231418113006e-29	1.47088920482144	1.48637446585377	5.16791012144453e+30	5.16791012144453e+30	1108544571693245056	4.55191440096314e-15	1.03095596707699	1.27133204095329
5045	Make Me Cry	Cheryl	Rock	1.04894979174426	0.0822997298970269	0.594774634200008	0.00048971870009378	1.76360882160877	1.68130909171174	60341.8585101179	60341.8585101179	54922.8148846843	0.0918561805434128	5.34659541892332	2.05290320206818
5039	Boy Like You	Cheryl	Pop	5.47604082070219e+22	2.32879843435985e+20	235.144473643872	0.555482059488099	2.32879843435985e+20	0.00425270466493935	21.0720819488031	21.0720819488031	5039	1	2.3750850960063	2.03640105823828
5035	Rock N Roller (Vandalism Remix)	Ministry Of Sound	Dance	1.02505203237919	0.0260076058775716	0.963257921437439	0.00528460388936433	1.06415115782234	1.03814355194477	48966.0644665068	48966.0644665068	103861.437912231	0.0484780501908212	5.6555968388675	2.34859882605854
5034	Red	Various Artists	Pop	36.7806542512363	1.73510176845105	20.6216458894962	1.69797178365868e-08	1.78359450299603	0.0484927345449839	274.10769077664	274.10769077664	5034	1	4.10668435337963	2.55251971087021
5027	This Is Your Life	The Killers	Dance	41.040830719464	1.41706548694604	28.2561611219233	0.000348112001863778	1.45245599861834	0.0353905116723065	153.729761992131	153.729761992131	5027	1	1.17851241679251	0.831780895956612
5024	Exogenesis: Symphony Part 1 [Overture]	Muse	Rock	0.00498993575587101	-0.015462868591898	64.3483489709973	0.999733101949143	7.75456687804071e-05	0.0155404142606785	74.4656877226341	74.4656877226341	Inf	0	1.03643788572353	1.60916799545185
5021	Stereo Love	Various Artists	Country and Western	2.01503379689267	0.00570302955638937	177.98150734735	0.272504780566521	0.0113215908041509	0.00561856124776149	31.8835019547645	31.8835019547645	6269.47699402675	0.800864251481227	2.19689642142348	4.0448845619538
5018	Medicine Ball (Album Version (Explicit))	Eminem	Rock	34452.2167396053	772.832356525282	44.5778653659131	5.57229774547376e-309	772.8547891831	0.0224326578177667	107.173773595382	107.173773595382	5018	1	0.947565854281775	1.58336876075104
5017	Exogenesis: Symphony Part 3 [Redemption]	Muse	Soul/R\&B/Funk	22.4251667991929	0.549111967326366	39.0178471314555	4.59396318568443e-06	0.574741264520311	0.0256292971939453	119.657725621389	119.657725621389	5017.00000091478	0.999999999817663	1.06210370040748	1.53409203090472
5017	When You Were Young	Various Artists	Rock	52046.0650749792	202.446005651894	257.081214852273	5.1684787809345e-199	202.449895473251	0.00388982135693824	20.8848694481996	20.8848694481996	5017	1	1.26933914224135	1.43827858236898
5016	Exogenesis: Symphony Part 2 [Cross-pollination]	Muse	Rock	0.00261955367510988	-0.0154751557261931	64.4504303524866	0.98446840345727	4.06444714299539e-05	0.015515800197623	75.4070929098466	75.4070929098466	Inf	0	1.03301076382517	1.53453808564334
5012	Live And Let Die	Guns N\' Roses	Rap/Hip Hop	81205.6252682937	647.284946931855	125.454215571064	5.67338044548364e-309	647.292917967308	0.00797103545263925	39.1421089877456	39.1421089877456	5012	1	1.60819893874925	0.938410149717283
